percentile,precision,recall,f1
37,0.673289183222958,0.7343499197431782,0.7024952015355086
38,0.6771300448430493,0.7271268057784912,0.7012383900928792
39,0.6808510638297872,0.7191011235955056,0.6994535519125683
40,0.6818532818532819,0.7086677367576244,0.6950019677292405
41,0.6826394344069128,0.6974317817014446,0.6899563318777293
42,0.6876996805111821,0.6910112359550562,0.6893514811849479
43,0.6886178861788618,0.6797752808988764,0.684168012924071
44,0.6903973509933775,0.6693418940609952,0.6797066014669927
45,0.6950294860994103,0.6621187800963082,0.6781750924784217
46,0.696137339055794,0.6508828250401284,0.6727498963085856
47,0.6975524475524476,0.6404494382022472,0.6677824267782427
48,0.7014260249554367,0.6316211878009631,0.6646959459459459
49,0.698455949137148,0.6171749598715891,0.6553046442266723
50,0.7043558850787767,0.6099518459069021,0.6537634408602151
51,0.7048249763481551,0.5979133226324238,0.6469821971341728
52,0.7094594594594594,0.5898876404494382,0.6441717791411042
53,0.7090729783037475,0.5770465489566613,0.636283185840708
54,0.7119838872104733,0.5674157303370787,0.631531933899062
55,0.7157569515962925,0.557784911717496,0.6269733874605322
56,0.7210526315789474,0.5497592295345104,0.6238615664845173
57,0.7262931034482759,0.5409309791332263,0.6200551977920883
58,0.7295805739514348,0.5304975922953451,0.6143122676579925
59,0.7333333333333333,0.5208667736757624,0.6091037071797278
60,0.7369640787949016,0.5104333868378812,0.6031294452347084
61,0.7482185273159145,0.5056179775280899,0.603448275862069
62,0.751219512195122,0.4943820224719101,0.5963213939980639
63,0.7546933667083855,0.4839486356340289,0.5897310513447432
64,0.7554697554697555,0.471107544141252,0.5803262481463174
65,0.7562913907284768,0.4582664526484751,0.5707146426786607
66,0.7602179836512262,0.4478330658105939,0.5636363636363636
67,0.7682584269662921,0.4390048154093098,0.5587334014300307
68,0.768451519536903,0.4261637239165329,0.5482705214248839
69,0.7668161434977578,0.4117174959871589,0.5357702349869452
70,0.7746913580246914,0.4028892455858748,0.5300950369588173
71,0.7747603833865815,0.38924558587479935,0.5181623931623932
72,0.7798013245033113,0.3780096308186196,0.5091891891891892
73,0.7838765008576329,0.3667736757624398,0.4997266265718972
74,0.7807486631016043,0.35152487961476725,0.484781405644715
75,0.7851851851851852,0.3402889245585875,0.4748040313549832
76,0.7915057915057915,0.3290529695024077,0.46485260770975056
77,0.7967806841046278,0.31781701444622795,0.45438898450946646
78,0.8021052631578948,0.3057784911717496,0.4427658338175479
79,0.8057395143487859,0.2929373996789727,0.429664508534432
80,0.8171296296296297,0.28330658105939005,0.42073897497020263
81,0.8195121951219512,0.2696629213483146,0.4057971014492754
82,0.8226221079691517,0.2568218298555377,0.39143730886850153
83,0.8337874659400545,0.24558587479935795,0.3794172349659021
84,0.846820809248555,0.23515248796147672,0.36809045226130654
85,0.8549382716049383,0.22231139646869985,0.35286624203821654
86,0.8642384105960265,0.20947030497592295,0.3372093023255814
87,0.8754448398576512,0.19743178170144463,0.32220039292730845
88,0.8803088803088803,0.18298555377207062,0.3029900332225914
89,0.9117647058823529,0.17415730337078653,0.29245283018867924
90,0.9120370370370371,0.1581059390048154,0.2694938440492476
91,0.9435897435897436,0.1476725521669342,0.25537820957668284
92,0.9479768786127167,0.13162118780096307,0.23114869626497533
93,0.9470198675496688,0.11476725521669343,0.2047244094488189
94,0.9461538461538461,0.09871589085072231,0.17877906976744187
95,0.9444444444444444,0.08186195826645265,0.15066469719350073
96,0.9425287356321839,0.06581059390048154,0.12303075768942236
97,0.9384615384615385,0.048956661316211875,0.09305873379099924
98,0.9772727272727273,0.03451043338683788,0.06666666666666667
99,1.0,0.01765650080256822,0.03470031545741325
